Happiness Rank,Country,Happiness Score,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Year,Region
1,Finland,7769,1.34,1.587,0.986,0.596,0.153,0.393,2.714,2019.0,Western Europe
2,Denmark,7600,1.383,1.573,0.996,0.592,0.252,0.41,2.394,2019.0,Western Europe
3,Norway,7554,1.488,1.582,1.028,0.603,0.271,0.341,2.241,2019.0,Western Europe
4,Iceland,7494,1.38,1.624,1.026,0.591,0.354,0.118,2.401,2019.0,Western Europe
5,Netherlands,7488,1.396,1.522,0.999,0.557,0.322,0.298,2.394,2019.0,Western Europe
6,Switzerland,7480,1.452,1.526,1.052,0.572,0.263,0.343,2.272,2019.0,Western Europe
7,Sweden,7343,1.387,1.487,1.009,0.574,0.267,0.373,2.246,2019.0,Western Europe
8,New Zealand,7307,1.303,1.557,1.026,0.585,0.33,0.38,2.126,2019.0,North America and ANZ
9,Canada,7278,1.365,1.505,1.039,0.584,0.285,0.308,2.192,2019.0,North America and ANZ
10,Austria,7246,1.376,1.475,1.016,0.532,0.244,0.226,2.377,2019.0,Western Europe
11,Australia,7228,1.372,1.548,1.036,0.557,0.332,0.29,2.093,2019.0,North America and ANZ
12,Costa Rica,7167,1.034,1.441,0.963,0.558,0.144,0.093,2.934,2019.0,Latin America and Caribbean
13,Israel,7139,1.276,1.455,1.029,0.371,0.261,0.082,2.665,2019.0,Middle East and North Africa
14,Luxembourg,7090,1.609,1.479,1.012,0.526,0.194,0.316,1.954,2019.0,Western Europe
15,United Kingdom,7054,1.333,1.538,0.996,0.45,0.348,0.278,2.111,2019.0,Western Europe
16,Ireland,7021,1.499,1.553,0.999,0.516,0.298,0.31,1.846,2019.0,Western Europe
17,Germany,6985,1.373,1.454,0.987,0.495,0.261,0.265,2.15,2019.0,Western Europe
18,Belgium,6923,1.356,1.504,0.986,0.473,0.16,0.21,2.234,2019.0,Western Europe
19,United States of America,6892,1.433,1.457,0.874,0.454,0.28,0.128,2.266,2019.0,North America and ANZ
20,Czech Republic,6852,1.269,1.487,0.92,0.457,0.046,0.036,2.637,2019.0,
21,United Arab Emirates,6825,1.503,1.31,0.825,0.598,0.262,0.182,2.145,2019.0,Middle East and North Africa
22,Malta,6726,1.3,1.52,0.999,0.564,0.375,0.151,1.817,2019.0,Western Europe
23,Mexico,6595,1.07,1.323,0.861,0.433,0.074,0.073,2.761,2019.0,Latin America and Caribbean
24,France,6592,1.324,1.472,1.045,0.436,0.111,0.183,2.021,2019.0,Western Europe
25,Taiwan,6446,1.368,1.43,0.914,0.351,0.242,0.097,2.044,2019.0,
26,Chile,6444,1.159,1.369,0.92,0.357,0.187,0.056,2.396,2019.0,Latin America and Caribbean
27,Guatemala,6436,0.8,1.269,0.746,0.535,0.175,0.078,2.833,2019.0,Latin America and Caribbean
28,Saudi Arabia,6375,1.403,1.357,0.795,0.439,0.08,0.132,2.169,2019.0,Middle East and North Africa
29,Qatar,6374,1.684,1.313,0.871,0.555,0.22,0.167,1.564,2019.0,
30,Spain,6354,1.286,1.484,1.062,0.362,0.153,0.079,1.928,2019.0,Western Europe
31,Panama,6321,1.149,1.442,0.91,0.516,0.109,0.054,2.141,2019.0,Latin America and Caribbean
32,Brazil,6300,1.004,1.439,0.802,0.39,0.099,0.086,2.48,2019.0,Latin America and Caribbean
33,Uruguay,6293,1.124,1.465,0.891,0.523,0.127,0.15,2.013,2019.0,Latin America and Caribbean
34,Singapore,6262,1.572,1.463,1.141,0.556,0.271,0.453,0.806,2019.0,Southeast Asia
35,El Salvador,6253,0.794,1.242,0.789,0.43,0.093,0.074,2.831,2019.0,Latin America and Caribbean
36,Italy,6223,1.294,1.488,1.039,0.231,0.158,0.03,1.983,2019.0,Western Europe
37,Bahrain,6199,1.362,1.368,0.871,0.536,0.255,0.11,1.697,2019.0,Middle East and North Africa
38,Slovakia,6198,1.246,1.504,0.881,0.334,0.121,0.014,2.098,2019.0,Central and Eastern Europe
39,Trinidad & Tobago,6192,1.231,1.477,0.713,0.489,0.185,0.016,2.081,2019.0,
40,Poland,6182,1.206,1.438,0.884,0.483,0.117,0.05,2.004,2019.0,Central and Eastern Europe
41,Uzbekistan,6174,0.745,1.529,0.756,0.631,0.322,0.24,1.951,2019.0,Commonwealth of Independent States
42,Lithuania,6149,1.238,1.515,0.818,0.291,0.043,0.042,2.202,2019.0,Central and Eastern Europe
43,Colombia,6125,0.985,1.41,0.841,0.47,0.099,0.034,2.286,2019.0,Latin America and Caribbean
44,Slovenia,6118,1.258,1.523,0.953,0.564,0.144,0.057,1.619,2019.0,Central and Eastern Europe
45,Nicaragua,6105,0.694,1.325,0.835,0.435,0.2,0.127,2.489,2019.0,Latin America and Caribbean
46,Kosovo,6100,0.882,1.232,0.758,0.489,0.262,0.006,2.471,2019.0,Central and Eastern Europe
47,Argentina,6086,1.092,1.432,0.881,0.471,0.066,0.05,2.094,2019.0,Latin America and Caribbean
48,Romania,6070,1.162,1.232,0.825,0.462,0.083,0.005,2.301,2019.0,Central and Eastern Europe
49,Cyprus,6046,1.263,1.223,1.042,0.406,0.19,0.041,1.881,2019.0,Western Europe
50,Ecuador,6028,0.912,1.312,0.868,0.498,0.126,0.087,2.225,2019.0,Latin America and Caribbean
51,Kuwait,6021,1.5,1.319,0.808,0.493,0.142,0.097,1.662,2019.0,Middle East and North Africa
52,Thailand,6008,1.05,1.409,0.828,0.557,0.359,0.028,1.777,2019.0,Southeast Asia
53,Latvia,5940,1.187,1.465,0.812,0.264,0.075,0.064,2.073,2019.0,Central and Eastern Europe
54,South Korea,5895,1.301,1.219,1.036,0.159,0.175,0.056,1.949,2019.0,East Asia
55,Estonia,5893,1.237,1.528,0.874,0.495,0.103,0.161,1.495,2019.0,Central and Eastern Europe
56,Jamaica,5890,0.831,1.478,0.831,0.49,0.107,0.028,2.125,2019.0,Latin America and Caribbean
57,Mauritius,5888,1.12,1.402,0.798,0.498,0.215,0.06,1.795,2019.0,Sub-Saharan Africa
58,Japan,5886,1.327,1.419,1.088,0.445,0.069,0.14,1.398,2019.0,East Asia
59,Honduras,5860,0.642,1.236,0.828,0.507,0.246,0.078,2.323,2019.0,Latin America and Caribbean
60,Kazakhstan,5809,1.173,1.508,0.729,0.41,0.146,0.096,1.747,2019.0,Commonwealth of Independent States
61,Bolivia,5779,0.776,1.209,0.706,0.511,0.137,0.064,2.376,2019.0,Latin America and Caribbean
62,Hungary,5758,1.201,1.41,0.828,0.199,0.081,0.02,2.019,2019.0,Central and Eastern Europe
63,Paraguay,5743,0.855,1.475,0.777,0.514,0.184,0.08,1.858,2019.0,Latin America and Caribbean
64,Northern Cyprus,5718,1.263,1.252,1.042,0.417,0.191,0.162,1.391,2019.0,
65,Peru,5697,0.96,1.274,0.854,0.455,0.083,0.027,2.044,2019.0,Latin America and Caribbean
66,Portugal,5693,1.221,1.431,0.999,0.508,0.047,0.025,1.462,2019.0,Western Europe
67,Pakistan,5653,0.677,0.886,0.535,0.313,0.22,0.098,2.924,2019.0,South Asia
68,Russia,5648,1.183,1.452,0.726,0.334,0.082,0.031,1.84,2019.0,Commonwealth of Independent States
69,Philippines,5631,0.807,1.293,0.657,0.558,0.117,0.107,2.092,2019.0,Southeast Asia
70,Serbia,5603,1.004,1.383,0.854,0.282,0.137,0.039,1.904,2019.0,Central and Eastern Europe
71,Moldova,5529,0.685,1.328,0.739,0.245,0.181,0.0,2.351,2019.0,Commonwealth of Independent States
