Country,Region,Happiness Score,Standard Error,Whisker-high,Whisker-low,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Year,Happiness Rank
Finland,Western Europe,7809,0.031156305,7.869766235,7.747633934,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026,2020,1
Denmark,Western Europe,7646,0.033492286,7.711244583,7.579955101,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,2020,2
Switzerland,Western Europe,7560,0.035014171,7.628527641,7.491271973,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,2020,3
Iceland,Western Europe,7504,0.059615862,7.621346951,7.387652874,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114,2020,4
Norway,Western Europe,7488,0.034837384,7.55628109,7.419718742,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,2020,5
Netherlands,Western Europe,7449,0.02779175,7.503372192,7.394428253,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062,2020,6
Sweden,Western Europe,7353,0.036234196,7.424519062,7.282480717,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,2020,7
New Zealand,North America and ANZ,7300,0.039465468,7.376952648,7.222247601,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025,2020,8
Austria,Western Europe,7294,0.033365164,7.359595776,7.228804111,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,2020,9
Luxembourg,Western Europe,7238,0.030851794,7.297969818,7.177030563,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352,2020,10
Canada,North America and ANZ,7232,0.04040546,7.311294556,7.152905464,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108,2020,11
Australia,North America and ANZ,7223,0.041841116,7.30480814,7.140791416,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134,2020,12
United Kingdom,Western Europe,7165,0.037161909,7.237337589,7.091662884,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,2.236721992,2020,13
Israel,Middle East and North Africa,7129,0.042515181,7.211929798,7.045270443,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,2.713358402,2020,14
Costa Rica,Latin America and Caribbean,7121,0.044816118,7.209239483,7.033560276,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014,2020,15
