Country,Region,Happiness Score,Standard Error,Whisker-low,Whisker-high,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Year,Happiness Rank
Finland,Western Europe,7842,0.032,7.904,7.78,1.446,1.106,0.741,0.691,0.124,0.481,3.253,2021,1
Denmark,Western Europe,7620,0.035,7.687,7.552,1.502,1.108,0.763,0.686,0.208,0.485,2.868,2021,2
Switzerland,Western Europe,7571,0.036,7.643,7.5,1.566,1.079,0.816,0.653,0.204,0.413,2.839,2021,3
Iceland,Western Europe,7554,0.059,7.67,7.438,1.482,1.172,0.772,0.698,0.293,0.17,2.967,2021,4
Netherlands,Western Europe,7464,0.027,7.518,7.41,1.501,1.079,0.753,0.647,0.302,0.384,2.798,2021,5
Norway,Western Europe,7392,0.035,7.462,7.323,1.543,1.108,0.782,0.703,0.249,0.427,2.58,2021,6
Sweden,Western Europe,7363,0.036,7.433,7.293,1.478,1.062,0.763,0.685,0.244,0.448,2.683,2021,7
Luxembourg,Western Europe,7324,0.037,7.396,7.252,1.751,1.003,0.76,0.639,0.166,0.353,2.653,2021,8
New Zealand,North America and ANZ,7277,0.04,7.355,7.198,1.4,1.094,0.785,0.665,0.276,0.445,2.612,2021,9
Austria,Western Europe,7268,0.036,7.337,7.198,1.492,1.062,0.782,0.64,0.215,0.292,2.784,2021,10
Australia,North America and ANZ,7183,0.041,7.265,7.102,1.453,1.076,0.801,0.647,0.291,0.317,2.598,2021,11
Israel,Middle East and North Africa,7157,0.034,7.224,7.09,1.376,1.074,0.788,0.509,0.208,0.119,3.083,2021,12
Germany,Western Europe,7155,0.04,7.232,7.077,1.48,0.993,0.757,0.6,0.195,0.306,2.824,2021,13
Canada,North America and ANZ,7103,0.042,7.185,7.021,1.447,1.044,0.798,0.648,0.246,0.335,2.585,2021,14
Ireland,Western Europe,7085,0.04,7.164,7.006,1.644,1.092,0.753,0.606,0.238,0.367,2.384,2021,15
Costa Rica,Latin America and Caribbean,7069,0.056,7.179,6.96,1.134,0.966,0.722,0.673,0.105,0.083,3.387,2021,16
