Happiness Rank,Country,Happiness Score,Whisker-high,Whisker-low,Dystopia + residual,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Region,Year
1,Finland,7821,7.886,7.756,2.518,1.892,1.258,0.775,0.736,0.109,0.534,Western Europe,2022
2,Denmark,7636,7.71,7.563,2.226,1.953,1.243,0.777,0.719,0.188,0.532,Western Europe,2022
3,Iceland,7557,7.651,7.464,2.32,1.936,1.32,0.803,0.718,0.27,0.191,Western Europe,2022
4,Switzerland,7512,7.586,7.437,2.153,2.026,1.226,0.822,0.677,0.147,0.461,Western Europe,2022
5,Netherlands,7415,7.471,7.359,2.137,1.945,1.206,0.787,0.651,0.271,0.419,Western Europe,2022
6,Luxembourg,7404,7.501,7.307,2.042,2.209,1.155,0.79,0.7,0.12,0.388,Western Europe,2022
7,Sweden,7384,7.454,7.315,2.003,1.92,1.204,0.803,0.724,0.218,0.512,Western Europe,2022
8,Norway,7365,7.44,7.29,1.925,1.997,1.239,0.786,0.728,0.217,0.474,Western Europe,2022
9,Israel,7364,7.426,7.301,2.634,1.826,1.221,0.818,0.568,0.155,0.143,Middle East and North Africa,2022
10,New Zealand,7200,7.279,7.12,1.954,1.852,1.235,0.752,0.68,0.245,0.483,North America and ANZ,2022
11,Austria,7163,7.237,7.089,2.148,1.931,1.165,0.774,0.623,0.193,0.329,Western Europe,2022
12,Australia,7162,7.244,7.081,2.011,1.9,1.203,0.772,0.676,0.258,0.341,North America and ANZ,2022
13,Ireland,7041,7.121,6.961,1.743,2.129,1.166,0.779,0.627,0.19,0.408,Western Europe,2022
14,Germany,7034,7.122,6.947,2.142,1.924,1.088,0.776,0.585,0.163,0.358,Western Europe,2022
15,Canada,7025,7.107,6.943,1.924,1.886,1.188,0.783,0.659,0.217,0.368,North America and ANZ,2022
16,United States of America,6977,7.065,6.888,2.214,1.982,1.182,0.628,0.574,0.22,0.177,North America and ANZ,2022
17,United Kingdom,6943,7.018,6.867,1.967,1.867,1.143,0.75,0.597,0.289,0.329,Western Europe,2022
18,Czechia,6920,7.029,6.811,2.263,1.815,1.26,0.715,0.66,0.158,0.048," ""Central and Eastern Europe""",2022
19,Belgium,6805,6.89,6.72,2.283,1.907,1.106,0.764,0.492,0.049,0.204,Western Europe,2022
20,France,6687,6.758,6.615,1.895,1.863,1.219,0.808,0.567,0.07,0.266,Western Europe,2022
21,Bahrain,6647,6.779,6.514,2.092,1.854,1.029,0.625,0.693,0.199,0.155,Middle East and North Africa,2022
22,Slovenia,6630,6.718,6.542,1.885,1.81,1.249,0.769,0.685,0.118,0.115,Central and Eastern Europe,2022
23,Costa Rica,6582,6.683,6.481,2.346,1.584,1.054,0.744,0.661,0.089,0.102,Latin America and Caribbean,2022
24,United Arab Emirates,6576,6.66,6.492,1.809,1.998,0.98,0.633,0.702,0.204,0.25,Middle East and North Africa,2022
25,Saudi Arabia,6523,6.637,6.409,2.075,1.87,1.092,0.577,0.651,0.078,0.18,Middle East and North Africa,2022
