Country,Happiness Score,Standard Error,Whisker-high,Whisker-low,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Year,Happiness Rank,Region
Finland,7804,0.036,7.875,7.733,1.888,1.585,0.535,0.772,0.126,0.535,2.363,2023,1,Western Europe
Denmark,7586,0.041,7.667,7.506,1.949,1.548,0.537,0.734,0.208,0.525,2.084,2023,2,Western Europe
Iceland,7530,0.049,7.625,7.434,1.926,1.62,0.559,0.738,0.25,0.187,2.25,2023,3,Western Europe
Israel,7473,0.032,7.535,7.411,1.833,1.521,0.577,0.569,0.124,0.158,2.691,2023,4,Middle East and North Africa
Netherlands,7403,0.029,7.46,7.346,1.942,1.488,0.545,0.672,0.251,0.394,2.11,2023,5,Western Europe
Sweden,7395,0.037,7.468,7.322,1.921,1.51,0.562,0.754,0.225,0.52,1.903,2023,6,Western Europe
Norway,7315,0.044,7.402,7.229,1.994,1.521,0.544,0.752,0.212,0.463,1.829,2023,7,Western Europe
Switzerland,7240,0.043,7.324,7.156,2.022,1.463,0.582,0.678,0.151,0.475,1.87,2023,8,Western Europe
Luxembourg,7228,0.069,7.363,7.093,2.2,1.357,0.549,0.71,0.149,0.418,1.845,2023,9,Western Europe
New Zealand,7123,0.038,7.198,7.048,1.842,1.544,0.513,0.672,0.23,0.471,1.852,2023,10,North America and ANZ
Austria,7097,0.04,7.176,7.018,1.927,1.382,0.535,0.63,0.191,0.31,2.124,2023,11,Western Europe
Australia,7095,0.044,7.18,7.009,1.899,1.497,0.532,0.677,0.242,0.31,1.938,2023,12,North America and ANZ
Canada,6961,0.042,7.042,6.879,1.881,1.484,0.541,0.656,0.218,0.364,1.815,2023,13,North America and ANZ
Ireland,6911,0.044,6.996,6.825,2.152,1.425,0.539,0.656,0.186,0.409,1.545,2023,14,Western Europe
United States of America,6894,0.047,6.986,6.802,1.98,1.46,0.39,0.557,0.21,0.172,2.124,2023,15,North America and ANZ
Germany,6892,0.049,6.989,6.795,1.919,1.401,0.539,0.618,0.153,0.365,1.898,2023,16,Western Europe
Belgium,6859,0.034,6.926,6.793,1.907,1.449,0.528,0.59,0.137,0.273,1.976,2023,17,Western Europe
Czechia,6845,0.044,6.931,6.759,1.823,1.544,0.477,0.693,0.158,0.05,2.099,2023,18," ""Central and Eastern Europe"""
United Kingdom,6796,0.042,6.877,6.714,1.857,1.366,0.511,0.626,0.272,0.34,1.822,2023,19,Western Europe
Lithuania,6763,0.044,6.849,6.677,1.808,1.511,0.432,0.487,0.059,0.089,2.377,2023,20,Central and Eastern Europe
France,6661,0.038,6.735,6.588,1.856,1.433,0.566,0.582,0.083,0.27,1.872,2023,21,Western Europe
Slovenia,6650,0.051,6.75,6.55,1.815,1.539,0.532,0.707,0.144,0.113,1.799,2023,22,Central and Eastern Europe
Costa Rica,6609,0.052,6.71,6.507,1.587,1.34,0.503,0.683,0.099,0.116,2.281,2023,23,Latin America and Caribbean
Romania,6589,0.052,6.69,6.488,1.726,1.28,0.423,0.631,0.044,0.0,2.485,2023,24,Central and Eastern Europe
Singapore,6587,0.068,6.72,6.454,2.168,1.354,0.607,0.66,0.17,0.561,1.067,2023,25,Southeast Asia
United Arab Emirates,6571,0.043,6.656,6.486,2.015,1.223,0.401,0.745,0.188,0.247,1.752,2023,26,Middle East and North Africa
Taiwan Province of China,6535,0.047,6.627,6.444,1.89,1.372,0.492,0.562,0.067,0.178,1.974,2023,27,East Asia
Uruguay,6494,0.046,6.583,6.404,1.617,1.445,0.435,0.683,0.102,0.254,1.958,2023,28,Latin America and Caribbean
