Country,Happiness Score,Whisker-high,Whisker-low,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Year,Happiness Rank,Region
Finland,7741,7.815,7.667,1.844,1.572,0.695,0.859,0.142,0.546,2.082,2024,1,Western Europe
Denmark,7583,7.665,7.5,1.908,1.52,0.699,0.823,0.204,0.548,1.881,2024,2,Western Europe
Iceland,7525,7.618,7.433,1.881,1.617,0.718,0.819,0.258,0.182,2.05,2024,3,Western Europe
Sweden,7344,7.422,7.267,1.878,1.501,0.724,0.838,0.221,0.524,1.658,2024,4,Western Europe
Israel,7341,7.405,7.277,1.803,1.513,0.74,0.641,0.153,0.193,2.298,2024,5,Middle East and North Africa
Netherlands,7319,7.383,7.256,1.901,1.462,0.706,0.725,0.247,0.372,1.906,2024,6,Western Europe
Norway,7302,7.389,7.215,1.952,1.517,0.704,0.835,0.224,0.484,1.586,2024,7,Western Europe
Luxembourg,7122,7.213,7.031,2.141,1.355,0.708,0.801,0.146,0.432,1.54,2024,8,Western Europe
Switzerland,7060,7.147,6.973,1.97,1.425,0.747,0.759,0.173,0.498,1.488,2024,9,Western Europe
Australia,7057,7.141,6.973,1.854,1.461,0.692,0.756,0.225,0.323,1.745,2024,10,North America and ANZ
New Zealand,7029,7.105,6.954,1.81,1.527,0.673,0.746,0.226,0.48,1.567,2024,11,North America and ANZ
Costa Rica,6955,7.051,6.86,1.561,1.373,0.661,0.797,0.109,0.123,2.333,2024,12,Latin America and Caribbean
Kuwait,6951,7.06,6.843,1.845,1.364,0.661,0.827,0.2,0.172,1.884,2024,13,Middle East and North Africa
Austria,6905,6.986,6.824,1.885,1.336,0.696,0.703,0.214,0.305,1.766,2024,14,Western Europe
Canada,6900,6.984,6.815,1.84,1.459,0.701,0.73,0.23,0.368,1.572,2024,15,North America and ANZ
Belgium,6894,6.961,6.827,1.868,1.44,0.69,0.729,0.17,0.311,1.686,2024,16,Western Europe
Ireland,6838,6.927,6.749,2.129,1.39,0.7,0.758,0.205,0.418,1.239,2024,17,Western Europe
Czechia,6822,6.903,6.741,1.783,1.511,0.638,0.787,0.177,0.068,1.858,2024,18," ""Central and Eastern Europe"""
Lithuania,6818,6.896,6.739,1.766,1.454,0.598,0.533,0.044,0.116,2.307,2024,19,Central and Eastern Europe
United Kingdom,6749,6.833,6.665,1.822,1.326,0.672,0.713,0.267,0.351,1.598,2024,20,Western Europe
Slovenia,6743,6.843,6.643,1.786,1.502,0.695,0.789,0.157,0.131,1.683,2024,21,Central and Eastern Europe
United Arab Emirates,6733,6.823,6.643,1.983,1.164,0.563,0.815,0.209,0.258,1.741,2024,22,Middle East and North Africa
United States of America,6725,6.818,6.631,1.939,1.392,0.542,0.586,0.223,0.169,1.873,2024,23,North America and ANZ
Germany,6719,6.815,6.622,1.871,1.39,0.702,0.7,0.174,0.368,1.513,2024,24,Western Europe
Mexico,6678,6.781,6.575,1.521,1.241,0.544,0.722,0.086,0.127,2.437,2024,25,Latin America and Caribbean
Uruguay,6611,6.696,6.527,1.596,1.431,0.592,0.775,0.106,0.22,1.891,2024,26,Latin America and Caribbean
France,6609,6.685,6.533,1.818,1.348,0.727,0.65,0.112,0.281,1.672,2024,27,Western Europe
Saudi Arabia,6594,6.707,6.48,1.842,1.361,0.511,0.787,0.114,0.188,1.79,2024,28,Middle East and North Africa
Kosovo,6561,6.667,6.455,1.364,1.277,0.599,0.739,0.254,0.073,2.255,2024,29,Central and Eastern Europe
Singapore,6523,6.605,6.44,2.118,1.361,0.769,0.743,0.168,0.575,0.788,2024,30,Southeast Asia
Taiwan Province of China,6503,6.597,6.41,1.842,1.346,0.65,0.649,0.068,0.202,1.747,2024,31,East Asia
Romania,6491,6.592,6.39,1.699,1.236,0.583,0.717,0.041,0.006,2.21,2024,32,Central and Eastern Europe
El Salvador,6469,6.599,6.338,1.265,1.08,0.549,0.816,0.083,0.253,2.424,2024,33,Latin America and Caribbean
Estonia,6448,6.524,6.371,1.752,1.527,0.657,0.805,0.166,0.401,1.138,2024,34,Central and Eastern Europe
Poland,6442,6.513,6.37,1.738,1.417,0.639,0.6,0.081,0.175,1.791,2024,35,Central and Eastern Europe
Spain,6421,6.502,6.339,1.766,1.471,0.729,0.619,0.119,0.177,1.54,2024,36,Western Europe
Serbia,6411,6.522,6.3,1.538,1.391,0.585,0.663,0.2,0.101,1.932,2024,37,Central and Eastern Europe
Chile,6360,6.448,6.273,1.616,1.369,0.673,0.651,0.117,0.075,1.858,2024,38,Latin America and Caribbean
Panama,6358,6.489,6.227,1.702,1.392,0.633,0.72,0.063,0.043,1.806,2024,39,Latin America and Caribbean
Malta,6346,6.43,6.261,1.827,1.444,0.707,0.727,0.25,0.125,1.267,2024,40,Western Europe
Italy,6324,6.436,6.211,1.8,1.328,0.72,0.513,0.112,0.074,1.777,2024,41,Western Europe
